Name,Position,Company,Education,Location,Connections,Profile Link
"Clarinda Quisao, CFO, MBA,CMA,CFC,DipIFRS,REB,REA Bitcoin C",Group Chief Financial Officer,Mackay Group of Companies,University of the Philippines,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/cfombacmacfcdipifrs/
Ma. Rowena Juan Matti,CEO,Google,Asian Institute of Management,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/rowenajuanmatti/
Rodolfo Lorenzo Madrid,CEO,Distinct Travel,University of St. Gallen (HSG),"NCR - National Capital Region, Philippines",183,https://www.linkedin.com/in/rodolfo-lorenzo-madrid-a9451a15/
Jerwin Operio,"Co-Founder, Chief Marketing Officer",PearlPay,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jerwinoperio/
Elaine Carag,General Manager and Chief of Staff to the CEO,Lemi,University of the Philippines Los Baos,"Region IVA - Calabarzon, Philippines",500+,https://www.linkedin.com/in/elainecarag/
Buds Wenceslao,CEO,D.M. Wenceslao and Associates Incorporated,Massachusetts Institute of Technology,"NCR - National Capital Region, Philippines",496,https://www.linkedin.com/in/buds-wenceslao-557469a/
Angel Redoble,"FVP & Chief Information Security Officer ePLDT Group, PLDT Group, Smart Communications",Philippine Institute of Cyber Security Professionals (PICSPro),Cebu Institute of Technology,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/angelredoble/
Lance Christian Tan,CEO,Albero Creatives,Ateneo de Manila University,Philippines,232,https://www.linkedin.com/in/lancechristianatan/
Coffeejose Ahn,CEO,Coffee,,Philippines,500+,https://www.linkedin.com/in/coffeejose-ahn-6a6566162/
Raul Boncan Jr,CEO,"Cordillera School of Digital Arts, Inc.",Academy of Art University,"CAR - Cordillera Administrative Region, Philippines",233,https://www.linkedin.com/in/raul-boncan-jr-3429a0158/
Flordeliz Mahinay,Executive Assistant to the President and CEO,"LuckyU, Inc.",Sofa Design Institute,"NCR - National Capital Region, Philippines",139,https://www.linkedin.com/in/flordeliz-mahinay-779803133/
John Hadrian Rye Bonoan,CEO,Tket Project,"De La Salle University - Dasmarias, Philippines","NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/johnhadrianbonoan/
John Chester Quidlat,CEO,Dreamers Events Organizing Services,Far Eastern University,"NCR - National Capital Region, Philippines",229,https://www.linkedin.com/in/john-chester-quidlat-6247a1165/
Dr Sharon Lim,CEO,Pinoy Properties Investment Corp.,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/investatpinoy/
Jeanette Cortum,Corporate Executive Assistant to the Chief-Information-Officer,AECOM,"Gordon College, Olongapo City Phils","NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jeanette-cortum-apo1925/
Bhavna Suresh,CEO,Lamudi Philippines,HEC Paris,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/bhavna-suresh-53409b46/
Stephen P. Cutler,Chief Enterprise Risk and AML Officer,"OmniPay, Inc.",Criminology,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/stephen-p-cutler-6676498/
She Navarro,CEO,TDS Global Solutions,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/she-navarro-12660869/
Ma. Lourdes Pauline Guanzon,CEO,"Innovable, Inc.",Asian Institute of Management,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/pjguanzon/
Kristian Salvo,CEO,Poundit,Humber College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/kristiansalvo/
Hillary Mirasol,CEO,Hillstop,University of Asia and the Pacific,"Region III - Central Luzon, Philippines",104,https://www.linkedin.com/in/hillary-mirasol-065887193/
Steve Nathan Cruz,CEO,Captured Energy Green Solution Inc.,,"NCR - National Capital Region, Philippines",98,https://www.linkedin.com/in/steve-nathan-cruz-b94ab0184/
Javier Peruelo,CEO,First Smile Corporation,,"NCR - National Capital Region, Philippines",114,https://www.linkedin.com/in/javier-peruelo-332828193/
Andrian Dorato,CEO,Alexo BPO,,"Region VII - Central Visayas, Philippines",500+,https://www.linkedin.com/in/andrian-dorato-979240111/
Bro Louie,CEO,Wealth Blueprint Academy,AMA University,"National Capital Region, Philippines",47,https://www.linkedin.com/in/bro-louie-165229192/
Ronnel Coronel,CEO,MRFROZZ Meat Processing,Holy Angel University,"Region III - Central Luzon, Philippines",175,https://www.linkedin.com/in/ronnel-coronel-2240621a0/
Mario Jr. Sebastian,CEO,MARSSE Tropical Timber,Ateneo de Manila University,"NCR - National Capital Region, Philippines",423,https://www.linkedin.com/in/mariobsebastianjr/
Cat Bulos,CEO,VA Global Connect LLC,Manuel Luis Quezon University,"NCR - National Capital Region, Philippines",311,https://www.linkedin.com/in/cat-bulos-08a807190/
Liza Lora,CEO,Fusion modeling management,College of Saint Benilde,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/liza-lora-95751240/
Ma. Aimee Kaye Larroza,Executive Assistant to Global Talent Mgmt Leader and Chief Learning Officer-GHD Business School Manager,GHD,"Centro Escolar University, Makati","Region IVA - Calabarzon, Philippines",410,https://www.linkedin.com/in/ma-aimee-kaye-larroza-37112470/
Laverne (Laverne Chipeco) Chipeco,CEO,Buoyant Industrial Systems Inc,Miriam College,"NCR - National Capital Region, Philippines",384,https://www.linkedin.com/in/laverne-chipeco-b75a4370/
"Krister Vallente CPA, CISA, PMP",CEO,ScriptSmart Technologies Inc.,University of the Philippines - Diliman,"NCR - National Capital Region, Philippines",272,https://www.linkedin.com/in/krister-vallente-cpa-cisa-pmp-b1081329/
Wilson Nabong,CEO,MSCI Inc.,,Philippines,14,https://www.linkedin.com/in/wilson-nabong-4b624a136/
Hanz SJ,CEO,Creators & Co | Creators Corporation,De La Salle University,"NCR - National Capital Region, Philippines",23,https://www.linkedin.com/in/hanz-sj-68446b84/
Euclid Mari San Jose,CEO,iSolvify Information Technology Consultancy,World Citi College,"Region IVA - Calabarzon, Philippines",21,https://www.linkedin.com/in/euclid-mari-san-jose-1601231a0/
Henry Poblador,CEO,"HP Ventures, Inc.",,Philippines,255,https://www.linkedin.com/in/henry-poblador-a02325110/
Paul Michael Margallo,CEO,WeeCommerce Online,STI College,"NCR - National Capital Region, Philippines",17,https://www.linkedin.com/in/paul-michael-margallo-a4519319a/
Quenny Michiko Raymundo,CEO,Royal Island Resort and Watersports,De La Salle - College of Saint Benilde,Philippines,137,https://www.linkedin.com/in/quennymichikoraymundo/
Akira Wakabayashi,CEO,Beyonder Inc.,"Treston International College - Bonifacio Global City, Taguig","NCR - National Capital Region, Philippines",24,https://www.linkedin.com/in/akira-wakabayashi-aa5609160/
"Polly Amora, RN, US-RN, MAN",CEO,Magniviq Marketing,,"NCR - National Capital Region, Philippines",236,https://www.linkedin.com/in/pollyamorarn/
Ayleen Esperanza,Executive Assistant to the Chief Operating Officer,MD Gruppe,Cagayan State University,"NCR - National Capital Region, Philippines",61,https://www.linkedin.com/in/ayleen-esperanza-84b7b9a0/
Rodney Manuel,CEO,"R3 Summit Contractors, Inc.",National College of Business & Arts,"NCR - National Capital Region, Philippines",280,https://www.linkedin.com/in/rodney-manuel-50433330/
aldwin ayao,CEO,Playpen Media Inc.,Jose Rizal University,"NCR - National Capital Region, Philippines",108,https://www.linkedin.com/in/aldwin-ayao-752121133/
Mariquit A.,Executive Assistant to the CEO,Stanley College,Colegio de San Juan de Letran,"NCR - National Capital Region, Philippines",89,https://www.linkedin.com/in/mariquit-a-974ab035/
Cesar JR. Turla,CEO,CHELVY ARCHITECTURAL DESIGNS,Technological University of the Philippines,"NCR - National Capital Region, Philippines",236,https://www.linkedin.com/in/cesar-jr-turla-71075146/
Camille Peque,Executive Assistant To The Chairman and CEO,Toby's Sports,Trinity University of Asia,"NCR - National Capital Region, Philippines",52,https://www.linkedin.com/in/camille-peque-0b905a124/
Teresita Cruz,Executive Assistant to the Chairman & CEO,HBC Inc.,Ateneo Graduate School of Business,"NCR - National Capital Region, Philippines",250,https://www.linkedin.com/in/teresita-cruz-50770913/
"Rene Santos, CPA, MCP",President & CEO,"Performance Advantage Systems International, Inc.",Far Eastern University,"NCR - National Capital Region, Philippines",220,https://www.linkedin.com/in/rene-santos-cpa-mcp-017663100/
Angel Jr Vivas,CEO,Real Estate World Magazine,University of Karachi,Philippines,500+,https://www.linkedin.com/in/angel-jr-vivas-46456045/
AL LOPEZ,"Former Congressman, Republic of the Philippines & CEO","Philippine National Strategic Procurement & Advisory, Co.",San Beda College,"NCR - National Capital Region, Philippines",55,https://www.linkedin.com/in/al-lopez-83a23990/
Ona Sapiel,CEO,GrowifyPH,,"Region III - Central Luzon, Philippines",50,https://www.linkedin.com/in/onasapiel/
Michael Victor Yap,CEO,iWarehouse (Premium Certified Pre-Owned Gadgets),University of St. La Salle Bacolod City,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/michael-victor-yap-04036952/
Hernan Albino,CEO,BICM Genesis Freight Forwarding Intl Inc.,Mariano Marcos State University,"Region III - Central Luzon, Philippines",166,https://www.linkedin.com/in/hernan-albino-2b28b519a/
Zet-zette Papa,CEO,World Wings International Travel and Tours Corporation,University of the Philippines,Philippines,91,https://www.linkedin.com/in/zet-zette-papa-087b1789/
satur cadsi,CEO,Teknon Host IT Solutions,,"CAR - Cordillera Administrative Region, Philippines",59,https://www.linkedin.com/in/satur-cadsi-b69437182/
Jessie Aying,CEO,Tacfit Enterprises,"Mindanao Aeronautical Technical School College of Technology, Davao City","Region IVA - Calabarzon, Philippines",71,https://www.linkedin.com/in/jessie-aying-a9b084bb/
Myrna Magbitang,Social Development Specialist,HOMENET SOUTHEAST ASIA,University of the Philippines,"NCR - National Capital Region, Philippines",241,https://www.linkedin.com/in/myrna-magbitang-3ab26676/
Garry James Arenas,CEO,"Spark Global Tech Systems, Inc.",,"Region III - Central Luzon, Philippines",80,https://www.linkedin.com/in/garry-james-arenas-a8690a5b/
Rhyan Virrey,CEO,Consystent Solutions Inc.,San Beda College,Philippines,178,https://www.linkedin.com/in/rhyan-virrey-56383b20/
Jean Angeles,CEO,Angeles Energy Development Ltd,Melbourne Institute of Technology,"NCR - National Capital Region, Philippines",98,https://www.linkedin.com/in/jean-angeles-941091192/
Lody Paule,CEO,"Cignal TV, Inc.",University of Santo Tomas,"NCR - National Capital Region, Philippines",143,https://www.linkedin.com/in/lody-paule-2a624448/
Giancarlo Garcia,CEO,Baring Construction and Trading Co.,San Beda College,"Region IVB - Mimaropa, Philippines",190,https://www.linkedin.com/in/giancarlo-garcia-687a2497/
Nanette V.,CEO,GroupM,Philippine Christian University,Philippines,444,https://www.linkedin.com/in/nanette-v-3600688/
Scott Chambers,CEO,PC Fine Quality Foods Phils. Corp.,Swinburne University of Technology,"NCR - National Capital Region, Philippines",87,https://www.linkedin.com/in/scott-chambers-2056575a/
Andrew Robles,CEO,Jyro Max Inc.,,Philippines,64,https://www.linkedin.com/in/andrew-robles-9921b3121/
Marjo Meriales,Executive Assistant To The President & CEO,Security Bank Corporation,Far Eastern University,Philippines,217,https://www.linkedin.com/in/marjo-meriales-508371102/
Melissa Garcia,Executive Assistant to the CEO,Giantstride.ai,University of Santo Tomas,"NCR - National Capital Region, Philippines",109,https://www.linkedin.com/in/melissa-garcia-4b175591/
Alfredo R. Yniguez,Executive Vice-President & Chief Operating Officer,Camp John Hay Development Corporation,De La Salle University,Philippines,264,https://www.linkedin.com/in/alfredo-r-yniguez-57099025/
George Mercado,Talent Manager and Management and Training Consultant. CEO,CloudReady,University of Santo Tomas,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/georgepmercado/
Georg Lorenz,CEO,Connectix GmbH,FH Olten SO,"NCR - National Capital Region, Philippines",211,https://www.linkedin.com/in/georg-lorenz-35b2aa26/
Dave John Macias,CEO,Incuventure Partners Corporation,Ateneo de Manila University,"NCR - National Capital Region, Philippines",218,https://www.linkedin.com/in/dave-john-macias-045a5812b/
Salvador Silva Jr III,CEO,"Satellite GPS (GPS Tracking and Asset Management System, Corp)",Central Philippine University,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/salvador-silva-jr-iii-83142137/
Kenny Lorenzo Chua,CEO,CKL Corporation,Columbia Business School,Philippines,79,https://www.linkedin.com/in/kennylorenzochua/
Raul Cruz,CEO,Yagbi Trading (Online and offline retail store),Asian Institute of Management,"Calabarzon, Philippines",128,https://www.linkedin.com/in/raul-cruz-04577362/
Russell Acedillo,Chief Operating Officer,Quality Leads BPO,STI,"Region VII - Central Visayas, Philippines",500+,https://www.linkedin.com/in/russell-acedillo-2b3a0448/
Charmaine Dacanay,Executive Assistant to the President and CEO,"Allianz PNB Life Insurance, Inc.",Mapa University,"NCR - National Capital Region, Philippines",259,https://www.linkedin.com/in/charmaine-dacanay-3a584915a/
Horeb Eliot Dagandan,Chief Finance Officer,HEDGE Solutions,The Catholic University of Korea,"NCR - National Capital Region, Philippines",370,https://www.linkedin.com/in/horeb-eliot-dagandan-638bb0b0/
Ernest Cu,CEO,Globe Telecom,Northwestern University - Kellogg School of Management,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/ernest-cu-97503a6/
Dave Ferrer,Chief Creative Officer,JWT Manila,University of the Philippines,"NCR - National Capital Region, Philippines",306,https://www.linkedin.com/in/dave-ferrer-33b5a028/
Ayse Rosa,CEO,Tagcash Ltd. Inc.,Erasmus University Rotterdam,"NCR - National Capital Region, Philippines",425,https://www.linkedin.com/in/ayse-rosa-55522a60/
Christine Mercado,Chief Executive Assistant to the President and Operations Manager for Pharma and Retail,Accretio Holdings Inc.,Philippine School of Business Administration,"Region IVA - Calabarzon, Philippines",375,https://www.linkedin.com/in/christine-mercado-019a2110b/
Alice Grace Ledesma - Bautista,CEO,OutboundersBPO Managed Solutions,University of the Philippines,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/alice-grace-ledesma-bautista-1b7bb262/
"Dr. Chris Dayagdag, DBA, MIS",CEO,Marketlink Web Solutions Inc - www.marketlinkwebsolutions.com | www.philippineswebdesigning.com,University of the Philippines,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/chrisdayagdag/
Anna Russel Abanes,CEO,eWebDesignPH.com,STI College Batangas,"Region IVA - Calabarzon, Philippines",500+,https://www.linkedin.com/in/annarussel/
Tom Clancy,CEO,Self-employed,Finchley Catholic High School,Philippines,287,https://www.linkedin.com/in/tom-clancy-62001262/
Stanley Coloma,Chief Creative Officer,Nasansistan Design Services Co.,Philippine Christian University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/stanleycoloma/
Princess Laurente,CEO,XIA VIRTUAL HOUSE ANNOTATION SERVICES,,"Eastern Visayas, Philippines",500+,https://www.linkedin.com/in/xialaurent/
Maria Ressa,CEO,Rappler,Princeton University,"Manila, National Capital Region, Philippines",500+,https://www.linkedin.com/in/maria-ressa-473166/
Al-Fayeed Usman,CEO,Dreame.rs IT Solutions,Western Mindanao State University,Philippines,192,https://www.linkedin.com/in/devfayeed/
Chris Tio,Chief Strategy Officer,DFNN Group of Companies,University of the Philippines,Philippines,500+,https://www.linkedin.com/in/chris-tio-068b347a/
Colin Nathan Leonard Buckley,Chief Operating Officer,Academy Solutions Inc,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/colinnathanbuckley/
Frederick Puno,CEO,Collectors Hive,Adamson University,"NCR - National Capital Region, Philippines",90,https://www.linkedin.com/in/frederick-puno-9307a279/
Patrick Mark Guanzon,CEO,PrestiGGGe Distributors Inc.,,"Region III - Central Luzon, Philippines",157,https://www.linkedin.com/in/patrick-mark-guanzon-09751274/
Mary (Cutler) Singh,Regional Purchasing Officer,PouchNATION,San Beda College,"NCR - National Capital Region, Philippines",209,https://www.linkedin.com/in/dannasingh/
Estella Tuason Occena,Chief Financial Officer and Treasurer,Bloomberry Resorts & Casino Inc.,De La Salle University,"NCR - National Capital Region, Philippines",325,https://www.linkedin.com/in/estella-tuason-occena-37579588/
Sarah Jane Montellano,CEO,"Bridge Philanthropic Consulting, LLC.",Royal Christian College,"Region VII - Central Visayas, Philippines",200,https://www.linkedin.com/in/sarah-jane-montellano-880a03117/
Jacques Christophe Branellec,Executive Vice President and CEO,Jewelmer,Harvard Business School,Philippines,500+,https://www.linkedin.com/in/jbranellec/
Monina Chua,"Executive Assistant to the CEO, Citibank N.A. Philippines",Citibank N.A,St. Paul College of Quezon City,Philippines,227,https://www.linkedin.com/in/monina-chua-abb20483/
Elyzar Belen,CEO,EBCom Global Solutions,University of Santo Tomas,"Region I - Ilocos, Philippines",500+,https://www.linkedin.com/in/elyzar-belen-4812a9a1/
Desiree Joy B Alcala,CEO,Business Centre for Global Filipinos,Leeds Beckett University,Philippines,166,https://www.linkedin.com/in/desireejoyalcala/
Simon Loh,CEO,"Hoton Group Philippines, Inc.",Stamford College,"NCR - National Capital Region, Philippines",71,https://www.linkedin.com/in/simon-loh-6926b8153/
Paul Cordeta,CEO,Prime hub solutions,El Camino College,"Region VII - Central Visayas, Philippines",165,https://www.linkedin.com/in/paul-cordeta-466283152/
Glenn G.,CEO,(Confidential Company & Organization),Singapore Institute of Management,"NCR - National Capital Region, Philippines",406,https://www.linkedin.com/in/glenngoh/
John Patrick Lim,CEO,Citius Solutions Corporation,University of San Carlos - Technological Center,"Region VII - Central Visayas, Philippines",500+,https://www.linkedin.com/in/john-patrick-lim-953879b1/
Mary-Lyn Sebastian,CEO,SEB Connexion Inc,Polytechnic University of the Philippines,"NCR - National Capital Region, Philippines",138,https://www.linkedin.com/in/mary-lyn-sebastian-68920568/
Patrick Cheng,"Chief Financial Officer and Member, Management Committee",Manulife China Bank Life Insurance Corporation,Philippine Trust Institute,Philippines,412,https://www.linkedin.com/in/patrick-cheng-98b57136/
Henry Motte-Muoz,CEO,Edukasyon.ph,Harvard Business School,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/henrymottemunoz/
Mark Bulan,Executive Board Member,Zurf,far eastern university,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/mark-bulan-51358b16a/
Romel Yap,CEO,"Adobohost.com, Inc.",,Philippines,168,https://www.linkedin.com/in/romel-yap-554620107/
Patrick Roman Leus,CEO,"D'Leus Allied Kalakalan, Inc.",Asian Institute of Management,"NCR - National Capital Region, Philippines",100,https://www.linkedin.com/in/patrick-roman-leus-622422115/
Angelo Ballesteros,CEO,Exodus 14:14 Stainless Fabrication,,Philippines,86,https://www.linkedin.com/in/angelo-ballesteros-b0b103112/
Linda Lee,Social Media Influencer Coordinator / Content Creator / Executive Assistant to the CEO,Marcventures Mining and Development Corporation,The National Teachers College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/linda-lee-9b2ab1a2/
Caril Rebote,CEO,Buzz Bee Digital,University of St. La Salle,"NCR - National Capital Region, Philippines",89,https://www.linkedin.com/in/caril-rebote/
Mean Flores,CEO,Worlds Ambassadors,Dominican College,"NCR - National Capital Region, Philippines",81,https://www.linkedin.com/in/mean-flores-37838136/
Joop Evers,CEO,CSI Consult bv,London Business School,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/joop-evers-02940a/
Kernan Motoomull,"CEO, TechSupport.Ph","TechSupport.Ph, Inc.",San Beda College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/motoomull/
Carlos Joshua Adanza Libarnes,CEO,Chillscape Cafe Business,University of the Philippines,"Region IVA - Calabarzon, Philippines",46,https://www.linkedin.com/in/carlos-joshua-adanza-libarnes-07a952130/
Priscilla Casimiro,Executive Director,MaripresEnterprises Corp.,De La Salle University,Philippines,88,https://www.linkedin.com/in/priscilla-casimiro-966444105/
Neil Abacan,Executive Assistant to the Chief Compliance Officer,Land Bank of the Philippines,Pamantasan ng Lungsod ng Maynila,"Region IVB - Mimaropa, Philippines",48,https://www.linkedin.com/in/neil-abacan-03a788147/
Ma. Catherine Magnaye-Malvas,CEO,EthnoLink Language Services,Batangas State University,"Region XI - Davao, Philippines",88,https://www.linkedin.com/in/ma-catherine-magnaye-malvas-2841b8183/
RENE BUENO,CEO,"Counselors for Immigration & International Studies, Inc.",MLQU-San Beda College of Law,"NCR - National Capital Region, Philippines",87,https://www.linkedin.com/in/rene-bueno-43a622150/
"YCEL TIMBOL, CHRP ECE",Experienced Corporate Services Executive,"Integra Solutions and Services Provider, Inc.",Mapua Institute of Technology,"NCR - National Capital Region, Philippines",132,https://www.linkedin.com/in/ycel-timbol-chrp%C2%AE-ece-5633a6131/
Carolina Macalinao-Del Rosario,CEO,Carsoncrest International Education Corporation,St. Scholastica's College Manila,"NCR - National Capital Region, Philippines",289,https://www.linkedin.com/in/carolina-macalinao-del-rosario-74540230/
Dan B.,CEO,Nu Agri Asia,,"Region XI - Davao, Philippines",500+,https://www.linkedin.com/in/danieldbaron/
Bea Hernandez,CEO,Avail.At,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/beapsantiago/
"Ron Jabal, APR","CEO, PAGEONE Group",PAGEONE Group,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/ronjabal/
"Michael Lu, ACC, ACMC, CMC",Chief Transformation Officer,CML Transformative Coaching and Consulting,SAIDI Graduate School of Organization Development,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/mykelu/
Lalaine Catherine Monserrate-Avila,CEO,Ogilvy & Mather,St. Paul College of Manila,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/lalaine-catherine-monserrate-avila-1ba9106b/
Julius Casiple Penserga,CEO,JP Communication and Business Solution,Southwestern University (PH),"Region VIII - Eastern Visayas, Philippines",500+,https://www.linkedin.com/in/julius-casiple-penserga-5a683685/
Rachel Mae Ong,CEO,USANA Health Sciences,University of Santo Tomas,"NCR - National Capital Region, Philippines",36,https://www.linkedin.com/in/rachel-mae-ong-6198b239/
John Barry De jeus,CEO,PROGNOPRO,,"NCR - National Capital Region, Philippines",43,https://www.linkedin.com/in/john-barry-de-jeus-5aa82b56/
nico archelaus pasion,CEO,Browned,Ateneo de Davao University,"Region XI - Davao, Philippines",20,https://www.linkedin.com/in/nico-archelaus-pasion-ba8920ab/
arjay perez,CEO,PhilAsia Management Inc.,,"NCR - National Capital Region, Philippines",11,https://www.linkedin.com/in/arjay-perez-220b58199/
Joe Co,CEO,ScootR Express,,Philippines,21,https://www.linkedin.com/in/joe-co-57976060/
Ana Christina Cervantes,CEO,"RareJob Philippines, Inc.",St. Scholastica's College Manila,Philippines,21,https://www.linkedin.com/in/ana-christina-cervantes-133a4b119/
Nestor Bulala,CEO,Seven Net Industrial Services,"National University, Manila","NCR - National Capital Region, Philippines",85,https://www.linkedin.com/in/nestor-bulala-35bb7757/
"Leonard ""Len"" Dante Clarino",Chief Managing Executive,Volunteers Against Crime & Corruption- Marikina & Rizal Chapter (VACC- M&R),,Philippines,318,https://www.linkedin.com/in/lendante/
Rafael Ladao,Executive Assistant to CEO,PJ Lhuillier Group of Companies,,Philippines,427,https://www.linkedin.com/in/rafaelladao/
Jamie Ordoveza,Executive Assistant To the President CEO,amaysim,Philippine Women's University Sta Cruz Laguna,"NCR - National Capital Region, Philippines",106,https://www.linkedin.com/in/jamie-ordoveza-178a09ba/
Jones Pea,Executive Assistant to the CEO,Executive Mosaic,Polytechnic University of the Philippines,Philippines,266,https://www.linkedin.com/in/jones-pe%C3%B1a-31860754/
Ma. Victoria Dayao,Chief External Affairs Officer,De La Salle-College of Saint Benilde,De La Salle University,"NCR - National Capital Region, Philippines",242,https://www.linkedin.com/in/ma-victoria-dayao/
Michael Asperin,CEO,Balesin Island Club,Philippine Military Academy,"NCR - National Capital Region, Philippines",124,https://www.linkedin.com/in/michael-asperin-643309a3/
"Josemari ""Joey"" Ortega",CEO,Paradigm Global Investment Management Inc,University of the Philippines,"NCR - National Capital Region, Philippines",436,https://www.linkedin.com/in/josemari-joey-ortega-ba82262/
Ricardo Rico,Chief Operating Officer,Prowater Technologies Inc.,Letran College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/pinoybusinessclub/
emmanuel mahipus,CEO,MAHIPUS LAW AND CONSULTANCY,,Philippines,141,https://www.linkedin.com/in/emmanuel-mahipus-11442736/
Rizza Sison,Executive Assistant to the President & CEO,"Apex Mining Co., Inc.",PAMANTASAN NG LUNGSOD NG MAYNILA / MIRIAM COLLEGE,Philippines,167,https://www.linkedin.com/in/rizza-sison-4a7b479a/
Vince Servidad,CEO,Vince Servidad,University of Antique,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/vinceservidad/
Robert Gustavsson,CEO,PH,Different,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/robert-gustavsson-93944064/
JV Romero,CEO,88 Kitchen Solutions,Lyceum of the Philippines Intramuros Manila,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jv-romero-a48446130/
Grace Santos,CEO,Manila Water Philippine Ventures and Asia Pacific,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/grace-santos-46647254/
James Ryan Jonas,CEO,UP Provident Fund,Korea University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/james-ryan-jonas-2b029a61/
Maria Sionzon-Bott,Executive Director @ Virtual Services Pro and Chief Interior Designer,Virtual Services Pro,University of Santo Tomas,"Region IVA - Calabarzon, Philippines",172,https://www.linkedin.com/in/maria-sionzon-bott-14bb90ba/
Maridette Hular-Rillorta,Executive Assistant to CEO,LANDCO PACIFIC CORP.,,"NCR - National Capital Region, Philippines",266,https://www.linkedin.com/in/maridette-hular-rillorta-0a713476/
Rayyan M.,Chief Operations Officer,Mach Schnell Construction Inc.,University of Santo Tomas,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/rayyan-m-909498147/
Jan Sher Imtiaz,CEO,i-fern Express Ph,Enderun Colleges,"NCR - National Capital Region, Philippines",49,https://www.linkedin.com/in/jan-sher-imtiaz-394a7218b/
Neil Anthony Mansueto,CEO,BrodNeil Graphics & Web Services,University of San Carlos,"Region VII - Central Visayas, Philippines",54,https://www.linkedin.com/in/brodneil/
Chrisann Travel And Tours,CEO,Chrisann Travel And Tours,,Philippines,46,https://www.linkedin.com/in/chrisann-travel-and-tours-376a1b142/
Cristina Tina Wycoco Rodriguez,CEO,nueva ecija provincial government,st louis university baguio city,"Region III - Central Luzon, Philippines",79,https://www.linkedin.com/in/cristina-tina-wycoco-rodriguez-b7a565126/
Contessa Bianca Doplayna,CEO,JUNGLE SHOOTER Productions,Colegio San Agustin-Bacolod,"Region VI - Western Visayas, Philippines",124,https://www.linkedin.com/in/contessa-bianca-doplayna-8196b827/
Robin Sy,CEO,PNS Trading Corporation,Ateneo de Manila University,"NCR - National Capital Region, Philippines",98,https://www.linkedin.com/in/robin-sy-0b03ba63/
Julibe Flores,CEO,Ramy Helmy Design,Notre Dame of Dadiangas University (NDDU),"Region VII - Central Visayas, Philippines",198,https://www.linkedin.com/in/julibe-flores-9b20536b/
Billy James Cash,CEO,World Balance Philippines,,"NCR - National Capital Region, Philippines",47,https://www.linkedin.com/in/billy-james-cash-483438155/
Myra B.,CEO,SE Group Inc.,Southville Foreign University,"NCR - National Capital Region, Philippines",85,https://www.linkedin.com/in/myra-b-58a9369/
Mary Rose Cunanan,Executive Business Partner to CEO,SY Recruits,Polytechnic University of the Philippines,Philippines,92,https://www.linkedin.com/in/mary-rose-cunanan-aa1108139/
rosanna kho,CEO,KHO Travel and Tours,,Philippines,42,https://www.linkedin.com/in/rosanna-kho-67118499/
Emerlyn Alfonso,General Manager / CEO,EMER DIAMOND International Trading - Exporting and Importing,University of the East,"NCR - National Capital Region, Philippines",123,https://www.linkedin.com/in/emerlyn-alfonso-0a6040116/
